model,score,auroc_near,auroc_far,auroc_all,tau,known_test_acceptance,near_rejection,far_rejection,all_rejection,fpr95_near,fpr95_far,fpr95_all
vanilla,MSP,0.8090811875,0.891704625,0.85039290625,0.14620308578014374,0.9461,0.2925,0.41375,0.353125,0.7075,0.58625,0.646875
vanilla,MLS,0.7901664375,0.8950701249999998,0.84261828125,-5.931540489196777,0.9456,0.3225,0.54875,0.435625,0.6775,0.45125,0.564375
vanilla,Energy,0.7902775625,0.8963595000000001,0.8433185312499999,-6.092648029327393,0.9482,0.32,0.55125,0.435625,0.68,0.44875,0.564375
vanilla,Mahalanobis,0.8071869375,0.9103952500000001,0.8587910937499998,2844.692138671875,0.9474,0.29375,0.48125,0.3875,0.70625,0.51875,0.6125
