class,erm,sam_rho0.01,sam,sam_rho0.1
dog,0.5025906735751295,0.49093264248704666,0.6217616580310881,0.3860103626943005
elephant,0.9418918918918919,0.9013513513513514,0.7391891891891892,0.9243243243243243
giraffe,0.5245683930942895,0.7861885790172642,0.4541832669322709,0.5617529880478087
guitar,0.8421052631578947,0.9375,0.9226973684210527,0.9539473684210527
horse,0.6225490196078431,0.5159313725490197,0.7340686274509803,0.8455882352941176
house,0.9125,0.9875,0.925,0.8
person,0.675,0.6125,0.99375,0.7125
