method,photo_acc,photo_f1,art_painting_acc,art_painting_f1,cartoon_acc,cartoon_f1,src_mean_accuracy,src_worst_accuracy,src_worst_domain_accuracy,src_mean_macro_f1,src_worst_macro_f1,src_worst_domain_macro_f1,source_domain_separability,sep_n_per_group,sharp_loss_val,sharp_loss_val_perturbed,sharp_delta_sharp,sharp_grad_norm,sharp_rho,sketch_acc,sketch_f1,sketch_acc_delta_vs_erm
erm,0.9730538922155688,0.9675574687345103,0.9,0.900724701134725,0.9445628997867804,0.9482972439362712,0.9392055973341163,0.9,art_painting,0.9388598046018356,0.900724701134725,art_painting,0.8704318936877077,334,0.031795378774404526,0.21297597885131836,0.18118059635162354,1.7410367727279663,0.05,0.6823619241537286,0.7137649622163134,0.0
sam_rho0.01,0.9760479041916168,0.9718063817385819,0.8902439024390244,0.8923730613524091,0.9701492537313433,0.9738041172416985,0.9454803534539948,0.8902439024390244,art_painting,0.9459945201108965,0.8923730613524091,art_painting,0.8637873754152824,334,0.12603728473186493,0.34870445728302,0.2226671725511551,4.04198694229126,0.05,0.7141766352761517,0.7221171461330433,0.03181471112242307
sam,0.9670658682634731,0.9601648246401723,0.9317073170731708,0.9343565829169086,0.9616204690831557,0.9663155862484931,0.9534645514732665,0.9317073170731708,art_painting,0.9536123312685246,0.9343565829169086,art_painting,0.8837209302325582,334,0.09653500467538834,0.21039505302906036,0.11386004835367203,1.898572325706482,0.05,0.7029778569610587,0.7207697267801387,0.020615932807330095
sam_rho0.1,0.9700598802395209,0.9647675071542331,0.8878048780487805,0.8852939017567981,0.9445628997867804,0.9504459238794537,0.9341425526916939,0.8878048780487805,art_painting,0.933502444263495,0.8852939017567981,art_painting,0.8039867109634552,334,0.17223376035690308,0.2733473777770996,0.10111361742019653,1.777538537979126,0.05,0.7261389666581828,0.7387681464298028,0.04377704250445413
