best_so_far,epoch,step,train_loss_align,train_loss_cls,train_loss_total,train_mmd2,val_art_painting_acc,val_art_painting_f1,val_cartoon_acc,val_cartoon_f1,val_mean_acc,val_mean_f1,val_photo_acc,val_photo_f1,val_worst_f1,wall_time_s
0.8915106344466192,1,203,0.058738895964905107,0.5238940226180213,0.5826329184980522,0.058738895964905107,0.8634146341463415,0.8552011877673216,0.9040511727078892,0.9087386458520771,0.8955424945003124,0.8915106344466192,0.9191616766467066,0.9105920697204587,0.8552011877673216,16.6
0.9168403589553193,2,406,0.03265066145319409,0.23761508030257203,0.2702657415306774,0.03265066145319409,0.8731707317073171,0.8645001140570395,0.9189765458422174,0.9252764592696384,0.9197377152710026,0.9168403589553193,0.9670658682634731,0.96074450353928,0.8645001140570395,28.6
0.9168403589553193,3,609,0.02498560735876695,0.15668865180978084,0.1816742595450338,0.02498560735876695,0.8658536585365854,0.8599241300298772,0.9189765458422174,0.918995780648526,0.9133066749126947,0.9080576649808964,0.9550898203592815,0.9452530842642858,0.8599241300298772,40.5
0.9168403589553193,4,812,0.027660488105135893,0.15943338088874748,0.18709386909940265,0.027660488105135893,0.8365853658536585,0.8311033742205621,0.906183368869936,0.8997160507486802,0.8952941690595614,0.8869761015523957,0.9431137724550899,0.9301088796879448,0.8311033742205621,52.5
0.9168403589553193,5,1015,0.016212555103857308,0.13253117367175632,0.14874372837074065,0.016212555103857308,0.8804878048780488,0.878927901157434,0.9040511727078892,0.9100515308773697,0.9102155873390253,0.9085660558022725,0.9461077844311377,0.9367187353720137,0.878927901157434,64.4
0.930870856612508,6,1218,0.02111975996745888,0.11861548262184916,0.13973524196192696,0.02111975996745888,0.9073170731707317,0.9087457232245315,0.9488272921108742,0.9534911416267349,0.932088041920216,0.930870856612508,0.9401197604790419,0.9303757049862573,0.9087457232245315,76.3
0.9413454091603265,7,1421,0.013651893992582565,0.08536201769720048,0.09901391172075066,0.013651893992582565,0.9048780487804878,0.9025046624469513,0.9488272921108742,0.9510120319919196,0.9432510816943264,0.9413454091603265,0.9760479041916168,0.9705195330421084,0.9025046624469513,88.3
0.9413454091603265,8,1624,0.031096985960193436,0.0738993759944879,0.10499636164242447,0.031096985960193436,0.9170731707317074,0.9199642584606724,0.9189765458422174,0.9226741104473213,0.934371861612466,0.9348884162720577,0.9670658682634731,0.9620268799081793,0.9199642584606724,100.2
0.9413454091603265,9,1827,0.021548509862365114,0.08104264605193963,0.10259115552355356,0.021548509862365114,0.8951219512195122,0.8911112269769881,0.9211087420042644,0.9195213154606693,0.9267675165037339,0.9231693619734104,0.9640718562874252,0.9588755434825735,0.8911112269769881,112.1
0.9413454091603265,10,2030,0.008800375163486328,0.06704903969322125,0.07584941461154723,0.008800375163486328,0.8585365853658536,0.8557532491347971,0.9466950959488273,0.9522600341289077,0.9171131552486061,0.9145644027821861,0.9461077844311377,0.9356799250828532,0.8557532491347971,124.1
0.9413454091603265,11,2233,0.005337180098945394,0.06044237740513332,0.0657795579012098,0.005337180098945394,0.8439024390243902,0.8494699674591244,0.9211087420042644,0.9322840398551498,0.896720293875819,0.8982066530029363,0.9251497005988024,0.912865951694535,0.8494699674591244,136.0
0.9413454091603265,12,2436,0.026514918130496747,0.05546792881753126,0.08198284685125419,0.026514918130496747,0.8707317073170732,0.874230373116926,0.9275053304904051,0.9344946110147132,0.9217676353569838,0.9227825539042208,0.9670658682634731,0.9596226775810232,0.874230373116926,147.9
