method,photo_acc,photo_f1,art_painting_acc,art_painting_f1,cartoon_acc,cartoon_f1,src_mean_accuracy,src_worst_accuracy,src_worst_domain_accuracy,src_mean_macro_f1,src_worst_macro_f1,src_worst_domain_macro_f1,source_domain_separability,sep_n_per_group,sharp_loss_val,sharp_loss_val_perturbed,sharp_delta_sharp,sharp_grad_norm,sharp_rho
erm,0.9730538922155688,0.9675574687345103,0.9,0.900724701134725,0.9445628997867804,0.9482972439362712,0.9392055973341163,0.9,art_painting,0.9388598046018356,0.900724701134725,art_painting,0.8704318936877077,334,0.031795378774404526,0.21297615766525269,0.18118077516555786,1.7410367727279663,0.05
dan_dg,0.9760479041916168,0.9705195330421084,0.9048780487804878,0.9025046624469513,0.9488272921108742,0.9510120319919196,0.9432510816943264,0.9048780487804878,art_painting,0.9413454091603265,0.9025046624469513,art_painting,0.7574750830564784,334,0.03944826498627663,0.15935228765010834,0.11990402638912201,1.6805111169815063,0.05
sam,0.9670658682634731,0.9601648246401723,0.9317073170731708,0.9343565829169086,0.9616204690831557,0.9663155862484931,0.9534645514732665,0.9317073170731708,art_painting,0.9536123312685246,0.9343565829169086,art_painting,0.8837209302325582,334,0.09653500467538834,0.21039514243602753,0.11386013776063919,1.898572325706482,0.05
sam_rho0.01,0.9760479041916168,0.9718063817385819,0.8902439024390244,0.8923730613524091,0.9701492537313433,0.9738041172416985,0.9454803534539948,0.8902439024390244,art_painting,0.9459945201108965,0.8923730613524091,art_painting,0.8637873754152824,334,0.12603728473186493,0.3487044870853424,0.22266720235347748,4.04198694229126,0.05
sam_rho0.1,0.9700598802395209,0.9647675071542331,0.8878048780487805,0.8852939017567981,0.9445628997867804,0.9504459238794537,0.9341425526916939,0.8878048780487805,art_painting,0.933502444263495,0.8852939017567981,art_painting,0.8039867109634552,334,0.17223376035690308,0.27334722876548767,0.1011134684085846,1.7775384187698364,0.05
dan_dg_biased,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595686,0.17270788912579957,cartoon,0.05066996495567924,0.04207792207792208,cartoon,0.3953488372093023,334,1.904517650604248,2.1441237926483154,0.23960614204406738,2.87934947013855,0.05
