best_val_acc,epoch,lr,train_acc,train_lambda,train_loss,train_loss_cls,train_loss_dummy,train_loss_mix,train_mix_to_dummy_rate,val_acc,wall_time_s
0.9506,1,0.0009990133642141358,0.9989761396011396,0.5088341266044185,0.5640192768003187,0.0867365001836139,0.17590685231223746,3.013759167445691,0.08573717948717949,0.9506,15.4
0.9506,2,0.000996057350657239,0.9992432336182336,0.4845603479767627,0.34053833595877697,0.10698091049819251,0.01578257005778473,2.1777485170934954,0.12486645299145299,0.9498,28.3
0.9506,3,0.0009911436253643444,0.999198717948718,0.47283513729919563,0.327487089355447,0.1054574811560476,0.012670327519249713,2.0935927700792623,0.146011396011396,0.9506,41.3
0.9506,4,0.0009842915805643156,0.9992877492877493,0.4754524361766726,0.3135915543363984,0.10219938445974279,0.011226306189159383,2.001658608091523,0.16671118233618235,0.9482,54.2
0.9506,5,0.0009755282581475769,0.9989761396011396,0.5065387965649621,0.3050675093278586,0.10064595683008178,0.010975021730970454,1.9344652683986219,0.18336004273504272,0.9498,67.1
0.9512,6,0.0009648882429441258,0.999465811965812,0.48964480449580866,0.2994279219554021,0.09932955641012925,0.010168587868539697,1.8992977441206278,0.1883457977207977,0.9512,80.1
0.9512,7,0.0009524135262330099,0.9995548433048433,0.5026464277130162,0.2977607121155133,0.09871441805124963,0.009794945327135233,1.8925134599039017,0.1814903846153846,0.95,93.1
0.9522,8,0.0009381533400219318,0.9992432336182336,0.49000482666611334,0.28168412847736285,0.09873169558679956,0.01072747420593884,1.7222495622444696,0.23183760683760685,0.9522,106.1
0.9522,9,0.0009221639627510075,0.9988425925925926,0.4907935710565487,0.24342613796732704,0.09315448889025936,0.01228757013707419,1.3798407577721141,0.34472934472934474,0.9482,119.1
0.9522,10,0.0009045084971874736,0.9989316239316239,0.5072799695448743,0.1455373956564485,0.0639434302506963,0.01686460577864253,0.6472935814123887,0.7306356837606838,0.9482,132.0
0.9522,11,0.0008852566213878945,0.9984864672364673,0.494338752760252,0.0925597432268481,0.042276138041773416,0.01693096750567102,0.33352637307935973,0.8912927350427351,0.9466,145.0
0.9522,12,0.0008644843137107056,0.9987090455840456,0.5092231687901282,0.11157402770323122,0.042129748949298156,0.01459207146977767,0.5485220633001409,0.8407674501424501,0.9458,158.0
0.9522,13,0.0008422735529643443,0.9990651709401709,0.49708058491901114,0.06339210580153513,0.029490140492250436,0.01402507677801654,0.1987688823303266,0.9476940883190883,0.937,170.9
0.9522,14,0.0008187119948743448,0.9991096866096866,0.49041450119702057,0.07182429779713649,0.026095665598611886,0.012358013402532649,0.3337061833112668,0.9093660968660968,0.9464,183.8
0.9522,15,0.0007938926261462366,0.9987980769230769,0.5087997980012513,0.11724763575867031,0.037311885728795305,0.011821682212019917,0.6811406636170173,0.7792022792022792,0.9468,196.8
0.9522,16,0.0007679133974894982,0.9986200142450142,0.49561995190390495,0.15946913824716524,0.06213521089224394,0.009771419519245454,0.8756250686455317,0.6307425213675214,0.9474,209.8
0.9522,17,0.0007408768370508576,0.9986645299145299,0.5015522644104187,0.07062168055322775,0.031237501704115475,0.011944122782290153,0.27440055606202185,0.9106570512820513,0.9468,222.7
0.9522,18,0.0007128896457825362,0.9990651709401709,0.5192742303353429,0.06561074741821513,0.025818663996848627,0.011481362063320953,0.2831072119141576,0.9188034188034188,0.9442,235.7
0.9522,19,0.0006840622763423389,0.9987535612535613,0.5045446529931408,0.05733001580796181,0.02411010085559978,0.010887812780603724,0.22332101971165746,0.9407941595441596,0.9416,248.7
0.9522,20,0.0006545084971874735,0.9990206552706553,0.4729745925438625,0.06103954959841196,0.023383091222441775,0.010051169403512934,0.27605288384476956,0.9212517806267806,0.9336,261.6
0.9522,21,0.0006243449435824271,0.9992877492877493,0.4799773410610069,0.056708511137576016,0.021083104962806756,0.009660821726434251,0.25964584159120874,0.9314458689458689,0.9382,274.6
0.9522,22,0.0005936906572928622,0.9993767806267806,0.5041032890202822,0.04055782264241806,0.016632039248518794,0.008832658680840435,0.15093124783107018,0.9603365384615384,0.9274,287.5
