best_so_far,epoch,step,train_disc_acc,train_grl_alpha,train_loss_cls,train_loss_domain,train_loss_total,val_art_painting_acc,val_art_painting_f1,val_cartoon_acc,val_cartoon_f1,val_mean_acc,val_mean_f1,val_photo_acc,val_photo_f1,val_worst_f1,wall_time_s
0.06366338946187834,1,203,0.7292693120064994,0.08255703830490344,2.4201759307328703,41.28487681689227,43.70505300002732,0.20243902439024392,0.08668426733568657,0.20042643923240938,0.06820341657789877,0.1672226196107447,0.06366338946187834,0.09880239520958084,0.03610248447204969,0.03610248447204969,23.8
0.10902758895235909,2,406,0.5171387680792456,0.24404018557745707,74.37971706519573,1353.5844501177667,1427.9641545394372,0.2,0.10274505874362838,0.1812366737739872,0.11474782436899357,0.21091122658733705,0.10902758895235909,0.25149700598802394,0.10958988374445532,0.10274505874362838,42.2
0.10902758895235909,3,609,0.5679392625252014,0.3930606876150119,1.9838832734253606,0.6792207163542949,2.6631039833200387,0.16829268292682928,0.07083710283591435,0.19829424307036247,0.12443696595071212,0.17808386555195813,0.08786177606022948,0.16766467065868262,0.06831125939406194,0.06831125939406194,60.5
0.10902758895235909,4,812,0.5789203796480676,0.5239768252756296,1.9258054136642682,0.6688897459965034,2.594695158192677,0.2073170731707317,0.09434111594776416,0.232409381663113,0.0995152448491523,0.22342179232984447,0.09788485063673534,0.23053892215568864,0.09979819111328954,0.09434111594776416,78.8
0.12105349959928309,5,1015,0.5599343349487323,0.634100941940253,1.941494598764504,0.6898355953799092,2.6313301988423166,0.2804878048780488,0.11673763030392013,0.18336886993603413,0.08471801229402345,0.27437937064661044,0.12105349959928309,0.3592814371257485,0.1617048561999057,0.08471801229402345,97.3
0.12105349959928309,6,1218,0.55131364529356,0.7233960938587989,1.921500139635772,0.6766858500212871,2.5981859878953455,0.22926829268292684,0.06576717065563767,0.17057569296375266,0.04500604669912245,0.2191096718622664,0.05680420236374575,0.25748502994011974,0.05963938973647711,0.04500604669912245,115.6
0.12105349959928309,7,1421,0.510570622209845,0.7936674764302234,1.9062002955986361,0.6983421814852747,2.604542472679627,0.13902439024390245,0.062254566898529755,0.21321961620469082,0.08952223111585116,0.17430089636110793,0.08009701781275243,0.17065868263473055,0.0885142554238764,0.062254566898529755,134.2
0.13762944057111368,8,1624,0.5174466506600968,0.8476749934178968,1.8726055645590345,0.6901633627896239,2.5627689255869446,0.2121951219512195,0.11865136668398246,0.22388059701492538,0.13161176156082163,0.2531430041264395,0.13762944057111368,0.32335329341317365,0.16262519346853685,0.11865136668398246,152.7
0.13762944057111368,9,1827,0.4818349904908335,0.8884318608500246,1.8309685203242185,0.697180888922931,2.5281494074854356,0.1926829268292683,0.0646993746993747,0.19829424307036247,0.10182586975789361,0.2311241264934897,0.09998150046307035,0.3023952095808383,0.13341925693194273,0.0646993746993747,171.2
0.2217745002570305,10,2030,0.450636302382488,0.9187668330973723,1.805085116419299,0.7039884781015331,2.5090735980442593,0.3024390243902439,0.1880028320137213,0.3049040511727079,0.23025054016486088,0.3481562746886486,0.2217745002570305,0.437125748502994,0.2470701285925093,0.1880028320137213,189.7
0.2217745002570305,11,2233,0.4693144631062822,0.9411131530269299,2.5722231841439682,1.3669569825597585,3.9391801568674922,0.14390243902439023,0.035942735303076456,0.12366737739872068,0.0314448359989157,0.14507816236059787,0.03613773744254439,0.16766467065868262,0.041025641025641026,0.0314448359989157,208.0
0.2217745002570305,12,2436,0.58343597527208,0.9574497353217613,3.015296341163184,1.6155022089117266,4.63079854185358,0.21951219512195122,0.05142857142857143,0.17484008528784648,0.0462361993977919,0.21727910344997248,0.052056057395635846,0.25748502994011974,0.058503401360544216,0.0462361993977919,226.4
0.2217745002570305,13,2639,0.6979680004084639,0.969326410911726,2.9162881556402875,1.4002361635269203,4.316524324745967,0.22439024390243903,0.09016060624334157,0.19829424307036247,0.08988769879909121,0.21774113637616335,0.0832158985222995,0.23053892215568864,0.06959939052446576,0.06959939052446576,244.8
0.2217745002570305,14,2842,0.46007800748195554,0.9779257711037349,1.8948832497808146,0.7016195202695912,2.5965027773908793,0.23902439024390243,0.10019430878549918,0.27078891257995735,0.16876383804642378,0.2687401628175341,0.13121578005700063,0.2964071856287425,0.12468919333907892,0.10019430878549918,263.2
0.2217745002570305,15,3045,0.4891215194328665,0.9841338926027186,1.852513372604483,0.6973011528917135,2.5498145249089585,0.2682926829268293,0.14735835515646464,0.3347547974413646,0.21234607155103633,0.2898381820788191,0.15364876828190643,0.26646706586826346,0.10124187813821836,0.10124187813821836,281.5
