disc_acc,epoch,grl_alpha,loss_cls,loss_domain,loss_total,progress,step,wall_time_s
0.8864583611488343,1,0.007800619419126431,1.4886830359697343,0.5400231048464775,2.0287061393260957,0.0031,20,4.3
0.8895833492279053,1,0.024218730716329684,0.8167781159281731,0.32978087291121483,1.1465589940547942,0.0064,40,5.9
0.8572916835546494,1,0.04062378850029012,0.5377237655222415,0.36329572945833205,0.9010194927453995,0.0097,60,7.6
0.8395833522081375,1,0.057006974001184915,0.5406350031495094,0.3756110057234764,0.9162460118532181,0.013,80,9.2
0.8125000178813935,1,0.07335951549482186,0.37910711355507376,0.4297952264547348,0.8089023381471634,0.0163,100,10.9
0.7729166924953461,1,0.08967270701157595,0.42763766571879386,0.4871417686343193,0.9147794365882873,0.0195,120,12.5
0.6604166895151138,1,0.10593792674621624,0.3355245403945446,0.6543558239936829,0.989880359172821,0.0228,140,14.2
0.6541666775941849,1,0.12214665508654443,0.3544234924018383,0.712338975071907,1.0667624652385712,0.0261,160,15.8
0.5708333507180214,1,0.13829049218172096,0.315493606030941,1.0023145616054534,1.3178081661462784,0.0294,180,17.5
0.4208333417773247,1,0.15436117497469218,5.317154487967491,118.3668484210968,123.68400223255158,0.0327,200,19.2
0.48284315098734465,2,0.17154733995876656,729.6677757711972,16121.809974726508,16851.477599873262,0.036,220,25.2
0.5114583507180214,2,0.18625080727059035,114.61349258422851,27.337236875295638,141.95072917938234,0.0393,240,26.9
0.5000000119209289,2,0.2020540590201491,5.212177377939224,2.1204971194267275,7.3326744556427,0.0425,260,28.6
0.481250011920929,2,0.21775279019715396,2.1562124729156493,0.9287514001131058,3.084963881969452,0.0458,280,30.2
0.5052083462476731,2,0.23333965370728887,2.041016662120819,0.8418211877346039,2.8828378438949587,0.0491,300,31.8
0.5250000193715095,2,0.24880752653112453,1.991802018880844,0.7551797300577163,2.7469817638397216,0.0524,320,33.5
0.5552083492279053,2,0.2641495212880721,1.9474269151687622,0.741380700469017,2.6888076305389403,0.0557,340,35.2
0.5125000208616257,2,0.279358996841732,2.047836756706238,0.8500758826732635,2.8979126095771788,0.059,360,36.8
