best_so_far,epoch,step,train_loss_align,train_loss_cls,train_loss_total,train_mmd2,val_art_painting_acc,val_art_painting_f1,val_cartoon_acc,val_cartoon_f1,val_mean_acc,val_mean_f1,val_photo_acc,val_photo_f1,val_worst_f1,wall_time_s
0.9034053939681074,1,203,0.01998270644342958,0.5254900880855292,0.5454727960704583,0.1998270644342958,0.8731707317073171,0.8647057917827229,0.906183368869936,0.9138630612275035,0.9074892910107809,0.9034053939681074,0.9431137724550899,0.9316473288940957,0.8647057917827229,23.8
0.9034053939681074,2,406,0.009578534534999303,0.21716391996668624,0.22674245429523474,0.09578534534999303,0.8804878048780488,0.8705419106001282,0.906183368869936,0.9093580898188526,0.9009462794728811,0.8942222478312435,0.9161676646706587,0.9027667430747497,0.8705419106001282,42.1
0.9338130940595329,3,609,0.007948739775295918,0.13922625768292016,0.14717499753964947,0.07948739775295915,0.8926829268292683,0.8905654286096791,0.9509594882729211,0.950912820491424,0.9369027611218875,0.9338130940595329,0.9670658682634731,0.9599610330774958,0.8905654286096791,60.5
0.9338130940595329,4,812,0.00696184682141384,0.13385047092735583,0.14081231720763915,0.06961846821413839,0.8609756097560975,0.8565152678978304,0.9147121535181236,0.9081662650038361,0.906267178576437,0.8990819779844875,0.9431137724550899,0.932564401051796,0.8565152678978304,78.9
0.9338130940595329,5,1015,0.00705836958485871,0.09550741575818894,0.10256578541347032,0.0705836958485871,0.8804878048780488,0.8726783290296767,0.9253731343283582,0.921530779241519,0.9123328879191016,0.9046932061750478,0.9311377245508982,0.9198705102539478,0.8726783290296767,97.4
0.9338130940595329,6,1218,0.006072378393464488,0.07900968532415172,0.08508206396581595,0.06072378393464488,0.9024390243902439,0.9017971818355327,0.9466950959488273,0.9496242908437686,0.9347413135661174,0.9322969552177384,0.9550898203592815,0.9454693929739137,0.9017971818355327,115.8
0.9338130940595329,7,1421,0.004929885547149357,0.06984623240477869,0.07477611771743432,0.049298855471493576,0.875609756097561,0.8798629637840627,0.9232409381663113,0.9307371295412145,0.924966199485163,0.9273206440878695,0.9760479041916168,0.9713618389383315,0.8798629637840627,134.1
0.9357338650738128,8,1624,0.0046967491140506535,0.08388971405395128,0.08858646295524289,0.04696749114050654,0.9024390243902439,0.9049644852036395,0.9317697228144989,0.9379639645275889,0.9347562091480879,0.9357338650738128,0.9700598802395209,0.9642731454902103,0.9049644852036395,152.5
0.9357338650738128,9,1827,0.005012713629623939,0.0578977324411484,0.06291044611607682,0.05012713629623939,0.8926829268292683,0.8932449902956804,0.9530916844349681,0.9539033566343766,0.9346194811998552,0.9328249205043004,0.9580838323353293,0.9513264145828444,0.8932449902956804,171.0
0.9357338650738128,10,2030,0.004017108179665552,0.04761192586272668,0.0516290338259773,0.04017108179665552,0.8780487804878049,0.8745436532880747,0.9168443496801706,0.9241605865037832,0.9186569914931176,0.9178490995814726,0.9610778443113772,0.9548430589525602,0.8745436532880747,189.3
0.9357338650738128,11,2233,0.004381519585407426,0.059481408427672446,0.06386292792267162,0.043815195854074264,0.8609756097560975,0.8578758049821509,0.9317697228144989,0.9380009405023095,0.9099570270245302,0.9073368779761165,0.937125748502994,0.9261338884438889,0.8578758049821509,207.7
0.9357338650738128,12,2436,0.0036604779107230053,0.02856944946645589,0.03222992749950101,0.03660477910723005,0.8731707317073171,0.8760622351394323,0.9317697228144989,0.9365686947645602,0.9230041036030804,0.923301931290856,0.9640718562874252,0.957274863968576,0.8760622351394323,226.1
0.9357338650738128,13,2639,0.003374017107075658,0.0461289533271026,0.049502970590935724,0.03374017107075658,0.8512195121951219,0.8543495749619449,0.9488272921108742,0.9545171079269968,0.9223708908564898,0.9237560993398971,0.9670658682634731,0.9624016151307497,0.8543495749619449,244.5
