best_so_far,epoch,step,train_loss_align,train_loss_cls,train_loss_total,train_mmd2,val_art_painting_acc,val_art_painting_f1,val_cartoon_acc,val_cartoon_f1,val_mean_acc,val_mean_f1,val_photo_acc,val_photo_f1,val_worst_f1,wall_time_s
0.9130999862472328,1,203,0.23459561763725845,0.5449292207402843,0.7795248387629176,0.23459561763725845,0.8780487804878049,0.8680546871640414,0.9168443496801706,0.9239013364415681,0.9166609835090856,0.9130999862472328,0.9550898203592815,0.9473439351360889,0.8680546871640414,26.7
0.927082428380578,2,406,0.19113809721810476,0.22447539210833353,0.4156134883905279,0.19113809721810476,0.8951219512195122,0.891215247920286,0.929637526652452,0.9345621632057759,0.9286124407277804,0.927082428380578,0.9610778443113772,0.9554698740156718,0.891215247920286,46.6
0.927082428380578,3,609,0.1821439982635047,0.14750370187363748,0.3296477019493216,0.1821439982635047,0.8951219512195122,0.89582992495754,0.9104477611940298,0.918120626199731,0.919221840265592,0.9193965424715301,0.9520958083832335,0.9442390762573195,0.89582992495754,66.0
0.927082428380578,4,812,0.17192383822549154,0.1313641988695255,0.30328803733358245,0.17192383822549154,0.8585365853658536,0.8634316421060823,0.9445628997867804,0.9452851522637828,0.9213924431546704,0.9204796976110327,0.9610778443113772,0.952722298463233,0.8634316421060823,85.7
0.9287012621784912,5,1015,0.17167279638093094,0.09458041450311544,0.2662532113015358,0.17167279638093094,0.8951219512195122,0.8946640978471393,0.9339019189765458,0.9383960044416426,0.9290359008437958,0.9287012621784912,0.9580838323353293,0.953043684246692,0.8946640978471393,105.6
0.9470388755443541,6,1218,0.16768281330616017,0.08573915998410121,0.25342197312510073,0.16768281330616017,0.9243902439024391,0.9284559072156267,0.9424307036247335,0.9454424832083352,0.9466249465809137,0.9470388755443541,0.9730538922155688,0.9672182362091002,0.9284559072156267,125.3
0.9470388755443541,7,1421,0.16731073938567062,0.07183409553351514,0.23914483541925552,0.16731073938567062,0.8878048780487805,0.893670372316861,0.9466950959488273,0.9493183856673556,0.9378472967217575,0.9393669138115756,0.9790419161676647,0.9751119834505102,0.893670372316861,145.0
0.9470388755443541,8,1624,0.16315024944361795,0.06825055397147763,0.23140080434641816,0.16315024944361795,0.8731707317073171,0.8701949536483881,0.929637526652452,0.93124514417988,0.9212953675570487,0.9194553108764757,0.9610778443113772,0.9569258348011587,0.8701949536483881,164.6
0.9470388755443541,9,1827,0.1664302783646607,0.06657426133568357,0.23300453851669292,0.1664302783646607,0.9097560975609756,0.9107557089235279,0.9488272921108742,0.9528423008258269,0.9418830859784411,0.9414349477882255,0.9670658682634731,0.9607068336153218,0.9107557089235279,184.3
0.9470388755443541,10,2030,0.16392172498656024,0.05565941511318455,0.21958113920512456,0.16392172498656024,0.9048780487804878,0.9017259866094138,0.9147121535181236,0.9236687423071726,0.9258913448779803,0.9260003718189793,0.9580838323353293,0.9526063865403515,0.9017259866094138,203.9
0.9470388755443541,11,2233,0.16290039969195286,0.06690602411924325,0.2298064235909819,0.16290039969195286,0.8926829268292683,0.8948235056303632,0.9466950959488273,0.952026572791354,0.9354812970138563,0.9367158307259468,0.9670658682634731,0.9632974137561231,0.8948235056303632,223.5
