method,photo_acc,photo_f1,art_painting_acc,art_painting_f1,cartoon_acc,cartoon_f1,src_mean_accuracy,src_worst_accuracy,src_worst_domain_accuracy,src_mean_macro_f1,src_worst_macro_f1,src_worst_domain_macro_f1,source_domain_separability,sep_n_per_group,sharp_loss_val,sharp_loss_val_perturbed,sharp_delta_sharp,sharp_grad_norm,sharp_rho,sketch_acc,sketch_f1,sketch_acc_delta_vs_erm
erm,0.9730538922155688,0.9675574687345103,0.9,0.900724701134725,0.9445628997867804,0.9482972439362712,0.9392055973341163,0.9,art_painting,0.9388598046018356,0.900724701134725,art_painting,0.8704318936877077,334,0.031795378774404526,0.21297621726989746,0.18118083477020264,1.7410366535186768,0.05,0.6823619241537286,0.7137649622163134,0.0
dan_dg,0.9760479041916168,0.9705195330421084,0.9048780487804878,0.9025046624469513,0.9488272921108742,0.9510120319919196,0.9432510816943264,0.9048780487804878,art_painting,0.9413454091603265,0.9025046624469513,art_painting,0.7574750830564784,334,0.03944826498627663,0.15935224294662476,0.11990398168563843,1.6805111169815063,0.05,0.6635276151692543,0.6473128994011488,-0.018834308984474357
sam,0.9670658682634731,0.9601648246401723,0.9317073170731708,0.9343565829169086,0.9616204690831557,0.9663155862484931,0.9534645514732665,0.9317073170731708,art_painting,0.9536123312685246,0.9343565829169086,art_painting,0.8837209302325582,334,0.09653500467538834,0.21039515733718872,0.11386015266180038,1.898572325706482,0.05,0.7029778569610587,0.7207697267801387,0.020615932807330095
