class,erm,dan_dg,sam
dog,0.5025906735751295,0.30310880829015546,0.6217616580310881
elephant,0.9418918918918919,0.9108108108108108,0.7391891891891892
giraffe,0.5245683930942895,0.8831341301460823,0.4541832669322709
guitar,0.8421052631578947,0.8470394736842105,0.9226973684210527
horse,0.6225490196078431,0.508578431372549,0.7340686274509803
house,0.9125,0.925,0.925
person,0.675,0.1875,0.99375
