best_val_acc,epoch,lr,train_acc,train_loss,val_acc,wall_time_s
0.3456,1,0.09997532801828658,0.22139868233618235,2.161835248653705,0.3456,14.2
0.438,2,0.09990133642141358,0.3767806267806268,1.6830858212930184,0.438,26.0
0.5488,3,0.099778098230154,0.4863559472934473,1.4248593223740234,0.5488,37.9
0.6044,4,0.0996057350657239,0.5713363603988604,1.211970206169661,0.6044,49.7
0.672,5,0.09938441702975688,0.6366853632478633,1.0232481222886305,0.672,61.6
0.7422,6,0.09911436253643444,0.6907496438746439,0.8789111586377831,0.7422,73.7
0.7422,7,0.09879583809693737,0.7275195868945868,0.7869346877108951,0.7032,85.4
0.7422,8,0.09842915805643156,0.7440571581196581,0.7363786647292624,0.7008,97.2
0.8004,9,0.09801468428384716,0.7624421296296297,0.6869598581240728,0.8004,109.4
0.8004,10,0.09755282581475769,0.7714788105413105,0.6628744056251993,0.7516,121.2
0.8004,11,0.09704403844771128,0.7798254985754985,0.6399176926524551,0.7728,133.0
0.8004,12,0.09648882429441258,0.7866809116809117,0.6184167709106054,0.7938,144.8
0.8004,13,0.09588773128419906,0.7918224715099715,0.6006533113809732,0.7912,156.6
0.8004,14,0.09524135262330098,0.7987001424501424,0.586018281275051,0.7738,168.3
0.817,15,0.0945503262094184,0.8017939814814815,0.5778199401166704,0.817,180.2
0.8262,16,0.09381533400219319,0.8083155270655271,0.5600079811706162,0.8262,192.0
0.8262,17,0.0930371013501972,0.8090722934472935,0.5519012887763162,0.7986,203.8
0.8262,18,0.09221639627510078,0.8133457977207977,0.5440103477901883,0.8066,215.6
0.8262,19,0.09135402871372812,0.8157719017094017,0.5382590646247918,0.7788,227.4
0.8262,20,0.09045084971874741,0.820045405982906,0.5266336557532307,0.8042,239.1
0.8262,21,0.08950775061878455,0.8239850427350427,0.5156875207723036,0.826,250.9
0.8432,22,0.0885256621387895,0.8250756766381766,0.5075274856172056,0.8432,262.9
0.8558,23,0.08750555348152302,0.8280804843304843,0.4993262444636081,0.8558,274.8
0.8558,24,0.08644843137107061,0.8308627136752137,0.4960408457833478,0.8298,286.6
0.8558,25,0.0853553390593274,0.8325765669515669,0.48997048103911245,0.84,298.4
0.8558,26,0.08422735529643446,0.834045584045584,0.484965813890142,0.8172,310.2
0.8558,27,0.08306559326618262,0.8375845797720798,0.47765953342119855,0.8394,322.1
0.8558,28,0.08187119948743452,0.8382968304843305,0.4703942689291093,0.8442,333.9
0.8558,29,0.08064535268264886,0.8400551994301995,0.4693250653156188,0.8508,345.7
0.8558,30,0.0793892626146237,0.8444622507122507,0.4581630607785662,0.8426,357.5
0.8604,31,0.07810416889260657,0.8457977207977208,0.4471813967170199,0.8604,369.4
0.8604,32,0.07679133974894986,0.8461093304843305,0.44974476973555366,0.8418,381.2
0.8604,33,0.0754520707875186,0.8474448005698005,0.4492264670184535,0.8442,393.0
0.8604,34,0.0740876837050858,0.8510060541310541,0.43676382761735183,0.8262,404.8
0.8686,35,0.07269952498697738,0.8535434472934473,0.4298733011779622,0.8686,416.7
0.8686,36,0.07128896457825366,0.8550347222222222,0.430884163094382,0.868,428.5
0.8686,37,0.06985739453173906,0.8545673076923077,0.4241250415473242,0.8634,440.3
0.8686,38,0.06840622763423394,0.8577501780626781,0.41064433545468537,0.8402,452.1
0.8686,39,0.06693689601226462,0.8610220797720798,0.40949657296183445,0.8614,464.0
0.8686,40,0.06545084971874741,0.8624243233618234,0.40324493992192795,0.847,475.9
0.8686,41,0.06394955530196152,0.8633368945868946,0.39785735377049514,0.8248,488.0
0.8686,42,0.062434494358242776,0.864494301994302,0.3915822427412044,0.863,499.8
0.8686,43,0.06090716206982718,0.8694800569800569,0.3866842927416505,0.8572,511.5
0.8686,44,0.05936906572928628,0.8703035968660968,0.3817943464487027,0.8604,523.4
0.8822,45,0.05782172325201159,0.8708155270655271,0.3741192756130485,0.8822,535.3
0.8822,46,0.056266661678215264,0.8764245014245015,0.3624293061233314,0.809,547.1
0.8822,47,0.05470541566592575,0.87284099002849,0.367080610149946,0.868,558.9
0.8822,48,0.053139525976465714,0.8810541310541311,0.35013123578325633,0.8734,570.7
