epoch,loss_cls,loss_total,progress,step,wall_time_s
1,1.488691371679306,1.488691371679306,0.0031,20,3.4
1,0.8445020973682403,0.8445020973682403,0.0064,40,4.4
1,0.565257166326046,0.565257166326046,0.0097,60,5.3
1,0.4797945372760296,0.4797945372760296,0.013,80,6.3
1,0.3534336142241955,0.3534336142241955,0.0163,100,7.3
1,0.39487254321575166,0.39487254321575166,0.0195,120,8.2
1,0.3746887009590864,0.3746887009590864,0.0228,140,9.2
1,0.32508391626179217,0.32508391626179217,0.0261,160,10.1
1,0.2861117262393236,0.2861117262393236,0.0294,180,11.2
1,0.28427010364830496,0.28427010364830496,0.0327,200,12.1
2,0.17541741656468196,0.17541741656468196,0.036,220,18.3
2,0.19930964130908252,0.19930964130908252,0.0393,240,19.5
2,0.25723411440849303,0.25723411440849303,0.0425,260,20.6
2,0.16031167280161754,0.16031167280161754,0.0458,280,21.6
2,0.3352474693208933,0.3352474693208933,0.0491,300,22.7
2,0.2810368714854121,0.2810368714854121,0.0524,320,23.7
2,0.2954917839728296,0.2954917839728296,0.0557,340,24.8
2,0.2681423958390951,0.2681423958390951,0.059,360,25.8
2,0.20870858542621135,0.20870858542621135,0.0622,380,26.9
2,0.24377004913985728,0.24377004913985728,0.0655,400,27.9
3,0.15826092420944146,0.15826092420944146,0.0688,420,30.7
3,0.15077001210302116,0.15077001210302116,0.0721,440,31.7
3,0.1480684562586248,0.1480684562586248,0.0754,460,32.7
3,0.1474887140095234,0.1474887140095234,0.0787,480,33.9
3,0.10533992024138569,0.10533992024138569,0.082,500,34.9
3,0.1917733502574265,0.1917733502574265,0.0852,520,36.0
3,0.23187817260622978,0.23187817260622978,0.0885,540,37.1
3,0.1285177752841264,0.1285177752841264,0.0918,560,38.1
3,0.1542304741218686,0.1542304741218686,0.0951,580,39.2
3,0.17995094909565523,0.17995094909565523,0.0984,600,40.2
4,0.14075319875370373,0.14075319875370373,0.1017,620,42.9
4,0.17629599748179317,0.17629599748179317,0.1049,640,44.0
4,0.15292676039971412,0.15292676039971412,0.1082,660,45.0
4,0.1037926628254354,0.1037926628254354,0.1115,680,46.1
4,0.12382143253926188,0.12382143253926188,0.1148,700,47.1
4,0.14859510939568282,0.14859510939568282,0.1181,720,48.2
4,0.10161181655712426,0.10161181655712426,0.1214,740,49.2
4,0.11097028718795628,0.11097028718795628,0.1247,760,50.2
4,0.12250910388538613,0.12250910388538613,0.1279,780,51.3
4,0.18606790136545898,0.18606790136545898,0.1312,800,52.3
5,0.04022570583038032,0.04022570583038032,0.1345,820,55.1
5,0.08911971091292799,0.08911971091292799,0.1378,840,56.2
5,0.16879031469579786,0.16879031469579786,0.1411,860,57.3
5,0.13995038364082574,0.13995038364082574,0.1444,880,58.3
5,0.10046916995197534,0.10046916995197534,0.1476,900,59.4
5,0.10420009936206043,0.10420009936206043,0.1509,920,60.4
5,0.1328802052885294,0.1328802052885294,0.1542,940,61.5
5,0.07863411968573927,0.07863411968573927,0.1575,960,62.5
5,0.057375983754172924,0.057375983754172924,0.1608,980,63.6
5,0.11101126670837402,0.11101126670837402,0.1641,1000,64.6
6,0.08579742591828107,0.08579742591828107,0.1674,1020,67.3
6,0.09764292479958385,0.09764292479958385,0.1706,1040,68.4
6,0.08993425804656,0.08993425804656,0.1739,1060,69.4
6,0.11783595365122893,0.11783595365122893,0.1772,1080,70.4
6,0.06009049983695149,0.06009049983695149,0.1805,1100,71.4
6,0.03199963851366192,0.03199963851366192,0.1838,1120,72.4
6,0.056872457830468195,0.056872457830468195,0.1871,1140,73.4
6,0.06120301788323559,0.06120301788323559,0.1903,1160,74.5
6,0.06468224036070751,0.06468224036070751,0.1936,1180,75.6
6,0.15653840058948845,0.15653840058948845,0.1969,1200,76.6
7,0.061303334310650826,0.061303334310650826,0.2002,1220,79.4
7,0.09741624289890752,0.09741624289890752,0.2035,1240,80.5
7,0.059788108795328296,0.059788108795328296,0.2068,1260,81.6
7,0.08714909804984927,0.08714909804984927,0.2101,1280,82.6
7,0.09739278401248157,0.09739278401248157,0.2133,1300,83.6
7,0.039611576104653066,0.039611576104653066,0.2166,1320,84.6
7,0.04563447805121541,0.04563447805121541,0.2199,1340,85.7
7,0.13528230586089193,0.13528230586089193,0.2232,1360,86.7
7,0.10802217673044652,0.10802217673044652,0.2265,1380,87.8
7,0.0653898588832817,0.0653898588832817,0.2298,1400,88.8
7,0.058429572981549424,0.058429572981549424,0.233,1420,89.9
8,0.03512155670537859,0.03512155670537859,0.2363,1440,92.6
8,0.05704629945539637,0.05704629945539637,0.2396,1460,93.6
8,0.03915487028098141,0.03915487028098141,0.2429,1480,94.7
8,0.077761343846214,0.077761343846214,0.2462,1500,95.7
8,0.07475026614265516,0.07475026614265516,0.2495,1520,96.8
8,0.09382289658533409,0.09382289658533409,0.2528,1540,97.8
8,0.08901830518152565,0.08901830518152565,0.256,1560,98.8
8,0.09791714006569237,0.09791714006569237,0.2593,1580,99.8
8,0.08189621104393155,0.08189621104393155,0.2626,1600,100.9
8,0.07254597281571477,0.07254597281571477,0.2659,1620,101.9
9,0.057838664812152274,0.057838664812152274,0.2692,1640,104.6
9,0.08883368282113224,0.08883368282113224,0.2725,1660,105.6
9,0.1399304642342031,0.1399304642342031,0.2757,1680,106.7
9,0.058493469608947635,0.058493469608947635,0.279,1700,107.7
9,0.07113998566055671,0.07113998566055671,0.2823,1720,108.7
9,0.0428921205282677,0.0428921205282677,0.2856,1740,109.7
9,0.025247150188079104,0.025247150188079104,0.2889,1760,110.7
9,0.04496791290584952,0.04496791290584952,0.2922,1780,111.7
9,0.03691028764296789,0.03691028764296789,0.2955,1800,112.8
9,0.04575021942728199,0.04575021942728199,0.2987,1820,113.8
10,0.06269216052113244,0.06269216052113244,0.302,1840,116.5
10,0.07425281207542866,0.07425281207542866,0.3053,1860,117.5
10,0.039751457848615245,0.039751457848615245,0.3086,1880,118.5
10,0.06687619435833767,0.06687619435833767,0.3119,1900,119.5
10,0.08300787112675607,0.08300787112675607,0.3152,1920,120.5
10,0.05602215986000374,0.05602215986000374,0.3184,1940,121.5
10,0.04735339576727711,0.04735339576727711,0.3217,1960,122.5
