best_val_acc,epoch,lr,train_acc,train_loss,train_loss_cls,train_loss_open,train_radius,val_acc,wall_time_s
0.3054,1,0.09997532801828658,0.25233707264957267,2.266608615206857,2.2634118316519976,0.0319679042415964,1.0952124897393258,0.3054,14.4
0.3134,2,0.09990133642141358,0.336338141025641,2.1572739724759704,2.152184170535487,0.0508980996312409,2.1776670991864977,0.3134,26.5
0.3406,3,0.099778098230154,0.35917467948717946,2.047886134892108,2.040190301729403,0.0769584029488414,2.7364134897194017,0.3406,38.8
0.4084,4,0.0996057350657239,0.3954994658119658,1.940583509257716,1.9300486606750054,0.10534845977130099,3.0953926897456503,0.4084,51.0
0.4278,5,0.09938441702975688,0.41659989316239315,1.8430467079847286,1.8300825873671094,0.1296412134781862,3.4812773048368273,0.4278,63.1
0.4278,6,0.09911436253643444,0.44566862535612534,1.7419034663768236,1.7275322471928394,0.14371219788945977,3.93942368607915,0.4258,75.1
0.4806,7,0.09879583809693737,0.4862001424501424,1.6515968521775684,1.6360280591877776,0.15568793645696422,4.417846848142792,0.4806,87.2
0.5196,8,0.09842915805643156,0.550102386039886,1.5643673045003517,1.5469248002750582,0.17442504779310988,4.9010804358370965,0.5196,99.3
0.6184,9,0.09801468428384716,0.6294738247863247,1.4816180216281163,1.4632149754766046,0.18403046433827136,5.364237096574572,0.6184,111.4
0.6486,10,0.09755282581475769,0.6781071937321937,1.399906721210208,1.3801720984640964,0.19734621135003208,5.80682958429016,0.6486,123.5
0.6644,11,0.09704403844771128,0.7094017094017094,1.3233082732583723,1.3000700623221546,0.23238210329133221,6.2268127552804104,0.6644,135.5
0.6644,12,0.09648882429441258,0.7363114316239316,1.236628730412562,1.211005084195368,0.25623648547888483,6.672934920699508,0.6094,147.5
0.6806,13,0.09588773128419906,0.7482861467236467,1.1681411521047609,1.1412416795040468,0.2689947310591016,7.0571359963158935,0.6806,159.6
0.6806,14,0.09524135262330098,0.7632656695156695,1.104694964878919,1.0752304225226073,0.2946454305254836,7.401315960788999,0.662,171.6
0.6852,15,0.0945503262094184,0.7785345441595442,1.0521169406736,1.0223969944521911,0.2971994576715676,7.672893654586923,0.6852,183.6
0.7896,16,0.09381533400219319,0.7877492877492878,1.0104715036191152,0.9798399894325821,0.30631512683680934,7.9019910616752425,0.7896,195.8
0.7896,17,0.0930371013501972,0.7992565883190883,0.9755092266618017,0.9452822829923059,0.3022694397091526,8.078745242876884,0.711,207.8
0.7896,18,0.09221639627510078,0.8136128917378918,0.9463349791333886,0.9146063208919645,0.3172866007753587,8.224051638546152,0.7472,219.9
0.7896,19,0.09135402871372812,0.8234285968660968,0.9206637869193683,0.8895967100080941,0.3106707792803433,8.347979268457136,0.7672,231.9
0.8154,20,0.09045084971874741,0.8339565527065527,0.9016033528197525,0.8692800380565502,0.3232331526415301,8.431015082573959,0.8154,243.9
0.8154,21,0.08950775061878455,0.8368723290598291,0.8824082742049824,0.8503899292388872,0.3201834416372484,8.508127992309396,0.787,256.0
0.8154,22,0.0885256621387895,0.8430600071225072,0.8636750429444163,0.830349432097541,0.3332560963270671,8.592350554941726,0.7882,268.0
0.8154,23,0.08750555348152302,0.8508725071225072,0.8421840553949361,0.8102215163388483,0.3196253617349853,8.663829110626482,0.795,280.0
0.8362,24,0.08644843137107061,0.854255698005698,0.8298597741670418,0.7958233229115478,0.34036451123888334,8.729281292342053,0.8362,292.1
0.8362,25,0.0853553390593274,0.8567930911680912,0.8184773971212556,0.785475199718421,0.33002195870264983,8.784190732189733,0.8268,304.2
