best_so_far,epoch,step,train_grad_norm,train_loss_cls,train_loss_perturbed,train_loss_total,train_sharpness_gap,val_art_painting_acc,val_art_painting_f1,val_cartoon_acc,val_cartoon_f1,val_mean_acc,val_mean_f1,val_photo_acc,val_photo_f1,val_worst_f1,wall_time_s
0.8642037904384455,1,203,4.611573030208719,1.1951573939599427,1.4446446792832737,1.4446446792832737,0.24948728532333092,0.7975609756097561,0.7972097364721936,0.8763326226012793,0.8825773560725606,0.867345770261962,0.8642037904384455,0.9281437125748503,0.912824278770582,0.7972097364721936,24.5
0.8886606427541303,2,406,4.886434633743587,0.34725863849881833,0.638120895829694,0.638120895829694,0.2908622574776851,0.8560975609756097,0.8486190639827258,0.8869936034115139,0.8898660710583546,0.8934056376300393,0.8886606427541303,0.937125748502994,0.9274967932213104,0.8486190639827258,44.5
0.9262589674860218,3,609,3.7828734895865908,0.20969747635421201,0.44252533421581014,0.44252533421581014,0.23282785809098794,0.8926829268292683,0.8880739216872314,0.9402985074626866,0.9434341043798726,0.9293570848837455,0.9262589674860218,0.9550898203592815,0.9472688763909615,0.8880739216872314,64.6
0.9263918721145036,4,812,3.075461682427693,0.14001975813192394,0.33873171832761156,0.33873171832761156,0.19871196025991675,0.9121951219512195,0.9109543501915836,0.9339019189765458,0.9342114790174636,0.929736937794285,0.9263918721145036,0.9431137724550899,0.9340097871344638,0.9109543501915836,84.5
0.9371978936336246,5,1015,2.633245782311914,0.1091813075681919,0.28355958173280865,0.28355958173280865,0.17437827449493806,0.9073170731707317,0.9031774019678428,0.9488272921108742,0.95422199857333,0.9390740698643277,0.9371978936336246,0.9610778443113772,0.9541942803597009,0.9031774019678428,104.8
0.9431257434067062,6,1218,2.0830558325563158,0.07264034247044199,0.22401989286242446,0.22401989286242446,0.15137955021535235,0.9170731707317074,0.9126698123611794,0.9466950959488273,0.9516911476997958,0.9446093823066852,0.9431257434067062,0.9700598802395209,0.9650162701591432,0.9126698123611794,124.8
0.9458289482077734,7,1421,1.993963204287543,0.0649405121797549,0.21314589992128863,0.21314589992128863,0.14820538756662402,0.9170731707317074,0.9166230366770771,0.9530916844349681,0.9569605788533807,0.9467415784687322,0.9458289482077734,0.9700598802395209,0.9639032290928624,0.9166230366770771,144.8
0.9536123312685246,8,1624,1.607346816493079,0.048809789353981614,0.18364492459268553,0.18364492459268553,0.13483513556558438,0.9317073170731708,0.9343565829169086,0.9616204690831557,0.9663155862484931,0.9534645514732665,0.9536123312685246,0.9670658682634731,0.9601648246401723,0.9343565829169086,164.7
0.9536123312685246,9,1827,1.541321877775521,0.04439077163378942,0.1743275774872215,0.1743275774872215,0.12993680527938412,0.9,0.8978774412581695,0.9360341151385928,0.9433776192998125,0.935364665126038,0.9350592508855033,0.9700598802395209,0.9639226920985278,0.8978774412581695,184.6
0.9536123312685246,10,2030,1.1954593474568405,0.029992916168222947,0.1416592079723997,0.1416592079723997,0.1116662914750024,0.9292682926829269,0.9242285105390787,0.9573560767590619,0.9604223568458277,0.949234071251122,0.9458269847053072,0.9610778443113772,0.9528300867310155,0.9242285105390787,204.6
0.9536123312685246,11,2233,1.23772860406508,0.031794186149898165,0.15078481864826432,0.15078481864826432,0.11899063247141287,0.9121951219512195,0.9109381074673876,0.9445628997867804,0.9489893207104659,0.9392786220164591,0.9381547153090216,0.9610778443113772,0.9545367177492111,0.9109381074673876,224.4
0.9536123312685246,12,2436,1.0555447281104298,0.024244507395787384,0.13479515409620085,0.13479515409620085,0.11055064650041423,0.8878048780487805,0.880281274495486,0.9381663113006397,0.9395613935496806,0.931012352537631,0.9270630707975323,0.9670658682634731,0.9613465443474303,0.880281274495486,244.3
0.9536123312685246,13,2639,0.9391913268293066,0.02156568774288254,0.12232822405055092,0.12232822405055092,0.10076253621247161,0.9243902439024391,0.9224501902591331,0.9637526652452025,0.967938213660336,0.9527342631290542,0.9515227218309047,0.9700598802395209,0.9641797615732453,0.9224501902591331,264.2
