epoch,grad_norm,loss_cls,loss_perturbed,loss_total,progress,sharpness_gap,step,wall_time_s
1,3.9656815350055696,1.8832099318504334,2.1060121953487396,2.1060121953487396,0.0031,0.22280226349830629,20,3.6
1,2.7207449793815615,1.8117409825325013,1.920257145166397,1.920257145166397,0.0064,0.10851616263389588,40,5.4
1,3.2396950006484984,1.7009133398532867,1.8775244295597076,1.8775244295597076,0.0097,0.1766110897064209,60,7.2
1,3.288800847530365,1.4913963377475739,1.662925398349762,1.662925398349762,0.013,0.17152906060218812,80,9.0
1,3.54188557267189,1.4869509398937226,1.6465191662311554,1.6465191662311554,0.0163,0.15956822633743287,100,10.8
1,5.491052985191345,1.0676337987184525,1.3737875521183014,1.3737875521183014,0.0195,0.30615375339984896,120,12.6
1,6.052051568031311,0.7991966754198074,1.1359650433063506,1.1359650433063506,0.0228,0.3367683678865433,140,14.4
1,6.432581996917724,0.7477435871958733,1.0996893644332886,1.0996893644332886,0.0261,0.3519457772374153,160,16.3
1,5.963077354431152,0.5860745519399643,0.9366997599601745,0.9366997599601745,0.0294,0.35062520802021024,180,18.1
1,5.47007030248642,0.5055924661457538,0.8139284670352935,0.8139284670352935,0.0327,0.3083360008895397,200,19.9
2,5.390790111878339,0.3510737349005306,0.6923974612179924,0.6923974612179924,0.036,0.34132372544092293,220,26.1
2,5.238975095748901,0.37475093826651573,0.6944167122244835,0.6944167122244835,0.0393,0.3196657747030258,240,27.9
2,5.041116452217102,0.3993590921163559,0.6908286660909653,0.6908286660909653,0.0425,0.2914695739746094,260,29.7
2,5.223142671585083,0.3677694283425808,0.6773452401161194,0.6773452401161194,0.0458,0.30957581102848053,280,31.5
2,4.941391956806183,0.35268748700618746,0.6463173970580101,0.6463173970580101,0.0491,0.2936299107968807,300,33.3
2,4.675910186767578,0.32787471190094947,0.6189309999346733,0.6189309999346733,0.0524,0.2910562872886658,320,35.1
2,4.933080530166626,0.36057085171341896,0.6486135929822922,0.6486135929822922,0.0557,0.2880427412688732,340,37.0
2,4.650559711456299,0.38105843439698217,0.6380136117339135,0.6380136117339135,0.059,0.2569551780819893,360,38.8
2,4.62959885597229,0.3006362244486809,0.580705440044403,0.580705440044403,0.0622,0.28006921634078025,380,40.6
2,4.290303444862365,0.26560637503862383,0.5189639061689377,0.5189639061689377,0.0655,0.2533575318753719,400,42.4
3,3.3119352545057024,0.20047921474490846,0.40551052561828066,0.40551052561828066,0.0688,0.2050313108733722,420,45.8
3,4.206169593334198,0.20787403583526612,0.4659597769379616,0.4659597769379616,0.0721,0.2580857425928116,440,47.6
3,4.614889216423035,0.2717386420816183,0.5542135283350944,0.5542135283350944,0.0754,0.2824748858809471,460,49.4
3,3.6486090272665024,0.20585515666753054,0.43652886711061,0.43652886711061,0.0787,0.230673711001873,480,51.2
3,4.101121294498443,0.2332125935703516,0.4801434114575386,0.4801434114575386,0.082,0.2469308167695999,500,53.0
3,4.314220237731933,0.22127320021390914,0.48176458925008775,0.48176458925008775,0.0852,0.26049138978123665,520,54.9
3,3.31379377245903,0.2136307716369629,0.41468763500452044,0.41468763500452044,0.0885,0.20105686336755751,540,56.7
3,3.5458685159683228,0.17626783847808838,0.4030935078859329,0.4030935078859329,0.0918,0.22682567015290261,560,58.5
3,3.6964012742042542,0.22797490954399108,0.44460830092430115,0.44460830092430115,0.0951,0.216633390635252,580,60.3
3,3.2627229034900664,0.16387049853801727,0.3663960352540016,0.3663960352540016,0.0984,0.20252553783357144,600,62.1
4,3.253066886555065,0.1570647352121093,0.34974400021813135,0.34974400021813135,0.1017,0.19267926500602203,620,65.6
4,3.517885261774063,0.1945542074739933,0.40202554762363435,0.40202554762363435,0.1049,0.2074713408946991,640,67.4
4,3.080293595790863,0.12523935046046972,0.33167467564344405,0.33167467564344405,0.1082,0.20643532574176787,660,69.2
4,3.065488505363464,0.14831324480473995,0.3466014347970486,0.3466014347970486,0.1115,0.19828818887472152,680,71.0
4,3.123304098844528,0.12524823052808642,0.3483317144215107,0.3483317144215107,0.1148,0.22308348193764688,700,72.8
4,2.9553424596786497,0.13916076812893152,0.33103477135300635,0.33103477135300635,0.1181,0.1918740026652813,720,74.7
4,3.1345101654529572,0.12601436711847783,0.3207473136484623,0.3207473136484623,0.1214,0.19473294876515865,740,76.5
4,2.545351427793503,0.11109304884448648,0.2771329365670681,0.2771329365670681,0.1247,0.16603988930583,760,78.3
4,2.8180911958217623,0.11067904327064752,0.3003052189946175,0.3003052189946175,0.1279,0.18962617516517638,780,80.1
4,3.203250157833099,0.1359057121910155,0.3500638775527477,0.3500638775527477,0.1312,0.21415816508233548,800,81.9
5,3.1764925867319107,0.14404545165598392,0.36901241540908813,0.36901241540908813,0.1345,0.22496696561574936,820,85.2
5,2.477210837602615,0.11873663510195911,0.27948849461972713,0.27948849461972713,0.1378,0.16075185928493738,840,87.1
5,2.6271843403577804,0.09225236088968813,0.27519590631127355,0.27519590631127355,0.1411,0.18294354490935802,860,88.9
5,2.694364994764328,0.11277583185583354,0.27840245366096494,0.27840245366096494,0.1444,0.165626622736454,880,90.7
5,2.6700829386711122,0.1137319263536483,0.29369122348725796,0.29369122348725796,0.1476,0.17995929718017578,900,92.5
5,2.8376108318567277,0.11490621152333916,0.29544553607702256,0.29544553607702256,0.1509,0.18053932562470437,920,94.3
5,2.768637663125992,0.11785870511084795,0.29497781246900556,0.29497781246900556,0.1542,0.1771191071718931,940,96.2
5,2.8345100402832033,0.11850980734452606,0.29980131387710574,0.29980131387710574,0.1575,0.18129150643944741,960,98.0
5,2.230581498146057,0.09026472847908736,0.24874928109347821,0.24874928109347821,0.1608,0.15848455317318438,980,99.8
5,2.4094585716724395,0.07720984434708952,0.2439076632261276,0.2439076632261276,0.1641,0.16669782027602195,1000,101.6
6,1.7479023814201355,0.05445010513067246,0.1872631400823593,0.1872631400823593,0.1674,0.13281303495168686,1020,105.2
6,1.899997490644455,0.06951538128778338,0.22003149427473545,0.22003149427473545,0.1706,0.15051611214876176,1040,107.1
6,1.687943162024021,0.05625982768833637,0.1830818025395274,0.1830818025395274,0.1739,0.12682197354733943,1060,108.9
6,2.1589376002550127,0.06995315891690553,0.22091155163943768,0.22091155163943768,0.1772,0.15095839388668536,1080,110.7
6,2.3883962005376818,0.08810504535213112,0.24798428155481816,0.24798428155481816,0.1805,0.15987923480570315,1100,112.5
6,2.182568983733654,0.07260147246997803,0.23455339819192886,0.23455339819192886,0.1838,0.16195192486047744,1120,114.3
6,2.449227142333984,0.09812096655368804,0.25633514411747454,0.25633514411747454,0.1871,0.1582141786813736,1140,116.1
6,2.017195910215378,0.0634939364157617,0.2072050828486681,0.2072050828486681,0.1903,0.14371114522218703,1160,117.9
6,2.309586137533188,0.07844478818587959,0.24585548751056194,0.24585548751056194,0.1936,0.16741069965064526,1180,119.8
6,2.026393453776836,0.07487964355386793,0.23255907520651817,0.23255907520651817,0.1969,0.15767943039536475,1200,121.6
7,1.6661177277565002,0.047218017280101776,0.19056609272956848,0.19056609272956848,0.2002,0.1433480754494667,1220,124.9
7,1.9402157999575138,0.06998840896994807,0.2020117207430303,0.2020117207430303,0.2035,0.13202331010252238,1240,126.8
7,1.869417928159237,0.048988698655739425,0.2072431666776538,0.2072431666776538,0.2068,0.15825446844100952,1260,128.6
7,1.9526545345783233,0.06735162883996963,0.2251473218202591,0.2251473218202591,0.2101,0.15779569409787655,1280,130.4
7,1.6478179082274438,0.049794804165139796,0.1763737913221121,0.1763737913221121,0.2133,0.12657898645848037,1300,132.2
7,2.5066998839378356,0.08442960334941745,0.2552133180201054,0.2552133180201054,0.2166,0.17078371457755565,1320,134.0
7,2.2855739265680315,0.06587931229732931,0.22276148796081544,0.22276148796081544,0.2199,0.1568821769207716,1340,135.8
7,2.243124794960022,0.07622517198324204,0.23295764811336994,0.23295764811336994,0.2232,0.15673247426748277,1360,137.6
7,2.0504192233085634,0.07375954473391175,0.21023433692753316,0.21023433692753316,0.2265,0.1364747915416956,1380,139.5
7,1.5870632581412791,0.04494541011517868,0.1827814243733883,0.1827814243733883,0.2298,0.13783601373434068,1400,141.3
7,1.9572695583105086,0.07221203995868564,0.2264413323253393,0.2264413323253393,0.233,0.154229293204844,1420,143.1
8,1.6966101589955782,0.05119253346990598,0.19555712373633133,0.19555712373633133,0.2363,0.14436458874689906,1440,146.5
8,1.643929235637188,0.048074895166791975,0.18492976743727924,0.18492976743727924,0.2396,0.1368548719212413,1460,148.3
8,1.9848414450883864,0.06198152075521648,0.20910443998873235,0.20910443998873235,0.2429,0.1471229201182723,1480,150.1
8,1.8540255218744277,0.06258475605864078,0.20576459299772978,0.20576459299772978,0.2462,0.1431798379868269,1500,151.9
8,1.4458162903785705,0.039342616056092086,0.17599927373230456,0.17599927373230456,0.2495,0.13665665797889232,1520,153.8
8,1.6170850284397602,0.039138463279232386,0.19344701040536166,0.19344701040536166,0.2528,0.15430854801088573,1540,155.6
8,1.6225147530436517,0.05218788930214942,0.1906469315290451,0.1906469315290451,0.256,0.1384590432047844,1560,157.4
8,1.5388982638716697,0.04752911879913881,0.1770338449627161,0.1770338449627161,0.2593,0.12950472682714462,1580,159.2
8,0.9624751832336187,0.022900019015651196,0.12078601033426821,0.12078601033426821,0.2626,0.09788599216844887,1600,161.0
8,1.7192996174097062,0.06082939604530111,0.18451662883162498,0.18451662883162498,0.2659,0.12368723256513477,1620,162.8
9,1.8557537971064448,0.06011324476276059,0.1903429615776986,0.1903429615776986,0.2692,0.13022971572354436,1640,166.2
9,1.349741343408823,0.04215247278334573,0.15875154193490743,0.15875154193490743,0.2725,0.1165990687906742,1660,168.0
9,1.2443790093064309,0.03166892310837284,0.14811489982530474,0.14811489982530474,0.2757,0.11644597677513957,1680,169.8
9,1.5633444115519524,0.04694267858285457,0.1662661951035261,0.1662661951035261,0.279,0.11932351496070623,1700,171.6
9,0.9963985800743103,0.02351812507258728,0.16007226454094053,0.16007226454094053,0.2823,0.13655413808301092,1720,173.5
9,1.9295902043581008,0.053138270997442304,0.20625594332814218,0.20625594332814218,0.2856,0.15311767309904098,1740,175.3
9,1.637095294892788,0.048399299220182004,0.17981659546494483,0.17981659546494483,0.2889,0.13141729459166526,1760,177.1
9,1.6586500868201255,0.043138043489307165,0.18411515299230813,0.18411515299230813,0.2922,0.1409771094098687,1780,178.9
9,1.5792578250169753,0.04662124211899936,0.1716811962425709,0.1716811962425709,0.2955,0.12505995351821184,1800,180.7
9,1.5347301423549653,0.04713794791023247,0.17287225993350147,0.17287225993350147,0.2987,0.12573431190103293,1820,182.5
10,1.4659707958881671,0.03791186586022377,0.16430772067262575,0.16430772067262575,0.302,0.12639585481240198,1840,185.8
10,1.2092471718788147,0.03817691338481381,0.14920250363647938,0.14920250363647938,0.3053,0.11102558821439742,1860,187.6
10,1.1734694741666316,0.03207903800648637,0.13574255388230086,0.13574255388230086,0.3086,0.10366351455450058,1880,189.5
10,0.9051979035139084,0.020289308053907006,0.1133251827210188,0.1133251827210188,0.3119,0.09303587395697832,1900,191.3
10,1.2019282907247544,0.025011881324462592,0.14137199912220239,0.14137199912220239,0.3152,0.11636011749505996,1920,193.1
10,1.3179280057549476,0.029388722614385188,0.1516282007098198,0.1516282007098198,0.3184,0.12223947905004025,1940,194.9
10,1.1002603709697723,0.02924084455007687,0.14259356651455163,0.14259356651455163,0.3217,0.113352722954005,1960,196.7
10,1.376996460556984,0.034040372900199144,0.1578926581889391,0.1578926581889391,0.325,0.12385228434577585,1980,198.5
10,1.1465735960751773,0.030197669158224017,0.13399655381217598,0.13399655381217598,0.3283,0.10379888424649834,2000,200.3
10,0.9906988546252251,0.018757677095709368,0.12164030065760016,0.12164030065760016,0.3316,0.10288262451067567,2020,202.2
11,1.0106191188097,0.017918590269982815,0.12788669541478156,0.12788669541478156,0.3349,0.10996810533106327,2040,205.5
11,1.4446593061089517,0.03718019027728588,0.19159740265458822,0.19159740265458822,0.3382,0.1544172141700983,2060,207.3
11,2.0763199001550676,0.07244435949251056,0.22527392730116844,0.22527392730116844,0.3414,0.15282956641167403,2080,209.1
11,1.2638408735394477,0.02781111524091102,0.14349629618227483,0.14349629618227483,0.3447,0.11568517945706844,2100,210.9
