method,best_epoch,photo_acc,photo_f1,art_painting_acc,art_painting_f1,cartoon_acc,cartoon_f1,src_mean_acc,src_mean_f1,src_worst_acc,src_worst_f1,target_acc,target_f1,domain_separability,sep_n_per_group,target_acc_delta_vs_source_only
source_only,7,0.9730538922155688,0.9675574687345103,0.9,0.900724701134725,0.9445628997867804,0.9482972439362712,0.9392055973341163,0.9388598046018356,0.9,0.900724701134725,0.6823619241537286,0.7137649622163134,0.9972527472527473,1213,0.0
dan_lambda0.1,8,0.9700598802395209,0.9642731454902103,0.9024390243902439,0.9049644852036395,0.9317697228144989,0.9379639645275889,0.9347562091480879,0.9357338650738128,0.9024390243902439,0.9049644852036395,0.7027233392720794,0.6630713540802576,0.9793956043956044,1213,0.020361415118350767
dan,10,0.9700598802395209,0.9657286225112199,0.9048780487804878,0.9050719806495083,0.9445628997867804,0.9491231354334299,0.939833609602263,0.939974579531386,0.9048780487804878,0.9050719806495083,0.6485110715194706,0.6068633051669102,0.8406593406593407,1213,-0.03385085263425802
dan_lambda10,7,0.9610778443113772,0.9539031293943381,0.8878048780487805,0.8837711077432316,0.8912579957356077,0.8928573360553603,0.9133802393652551,0.91017719106431,0.8878048780487805,0.8837711077432316,0.7062865869177908,0.6588729952169754,0.8214285714285714,1213,0.023924662764062132
