class,source_only,dan_lambda0.1,dan,dan_lambda10
dog,0.5025906735751295,0.7525906735751295,0.3432642487046632,0.6450777202072538
elephant,0.9418918918918919,0.595945945945946,0.7891891891891892,0.85
giraffe,0.5245683930942895,0.5378486055776892,0.6069057104913679,0.50066401062417
guitar,0.8421052631578947,0.9473684210526315,0.8108552631578947,0.9325657894736842
horse,0.6225490196078431,0.6776960784313726,0.6409313725490197,0.5857843137254902
house,0.9125,0.9625,1.0,1.0
person,0.675,0.8,0.9125,0.9125
