epoch,train_loss,val_acc
1,1.4208606696128845,0.937000036239624
2,0.4537601857185364,0.9600000381469727
3,0.23192863380908965,0.9700000286102295
4,0.1615152313709259,0.971000075340271
5,0.12744286918640138,0.971000075340271
6,0.10596783405542373,0.9740000367164612
7,0.09108869838714599,0.9740000367164612
8,0.07947255861759185,0.9740000367164612
9,0.07036494994163513,0.9760000705718994
10,0.06270239442586899,0.9740000367164612
11,0.056490091800689694,0.9740000367164612
12,0.050972076177597046,0.9750000238418579
13,0.046494936048984525,0.9750000238418579
14,0.042445208489894866,0.9770000576972961
15,0.03900316596031189,0.9780000448226929
16,0.03586126381158829,0.9780000448226929
17,0.033217494696378705,0.9780000448226929
18,0.030762332558631898,0.9780000448226929
19,0.02863849385082722,0.9770000576972961
20,0.0267207500487566,0.9770000576972961
