epoch,train_loss,val_acc
1,2.2591662921905518,0.8390000462532043
2,2.170757963180542,0.9610000252723694
3,2.084491321563721,0.9720000624656677
4,2.000683716773987,0.9720000624656677
5,1.9191842889785766,0.9730000495910645
6,1.840180748939514,0.9730000495910645
7,1.7638786945343017,0.9730000495910645
8,1.6897255935668944,0.9750000238418579
9,1.6183445377349854,0.9750000238418579
10,1.5496228160858154,0.9740000367164612
11,1.4833318738937378,0.9760000705718994
12,1.4196829624176026,0.9760000705718994
13,1.3586312656402588,0.9760000705718994
14,1.300035427093506,0.9750000238418579
15,1.2440094757080078,0.9770000576972961
16,1.1907202091217042,0.9760000705718994
17,1.1394964742660523,0.9770000576972961
18,1.0908473806381225,0.9770000576972961
19,1.0447319765090943,0.9770000576972961
20,1.0006293172836305,0.9760000705718994
