epoch,train_loss,val_acc
1,1.8096594400405883,0.9460000395774841
2,1.0169881348609924,0.9640000462532043
3,0.611712212562561,0.968000054359436
4,0.4113897635936737,0.971000075340271
5,0.304952054977417,0.9720000624656677
6,0.24087843787670135,0.9740000367164612
7,0.1989495165348053,0.9750000238418579
8,0.1690732958316803,0.9770000576972961
9,0.1464999998807907,0.9790000319480896
10,0.12894270861148835,0.9790000319480896
11,0.11517743730545044,0.9790000319480896
12,0.10331124293804168,0.9780000448226929
13,0.0938165276646614,0.9780000448226929
14,0.08561463111639023,0.9770000576972961
