class,source_only,dann_lr1,cdan_lr1,dan_biased,dan_lambda10_biased
dog,0.5025906735751295,0.27461139896373055,0.04404145077720207,0.4170984455958549,0.0
elephant,0.9418918918918919,0.0,0.10270270270270271,0.522972972972973,0.0
giraffe,0.5245683930942895,0.0,0.10225763612217796,0.43293492695883135,0.0
guitar,0.8421052631578947,0.0,0.0,0.75,0.0
horse,0.6225490196078431,0.0,0.0,0.6127450980392157,0.0
house,0.9125,0.9375,0.7375,1.0,0.0
person,0.675,0.0,0.41875,0.5,1.0
