class,source_only,dan,dann,cdan
dog,0.5025906735751295,0.3432642487046632,0.5686528497409327,0.5284974093264249
elephant,0.9418918918918919,0.7891891891891892,0.9054054054054054,0.8797297297297297
giraffe,0.5245683930942895,0.6069057104913679,0.7171314741035857,0.7423638778220452
guitar,0.8421052631578947,0.8108552631578947,0.962171052631579,0.8618421052631579
horse,0.6225490196078431,0.6409313725490197,0.7794117647058824,0.6495098039215687
house,0.9125,1.0,1.0,1.0
person,0.675,0.9125,0.9875,0.69375
