method,best_epoch,photo_acc,photo_f1,art_painting_acc,art_painting_f1,cartoon_acc,cartoon_f1,src_mean_acc,src_mean_f1,src_worst_acc,src_worst_f1,target_acc,target_f1,domain_separability,sep_n_per_group,target_acc_delta_vs_source_only
source_only,7,0.9730538922155688,0.9675574687345103,0.9,0.900724701134725,0.9445628997867804,0.9482972439362712,0.9392055973341163,0.9388598046018356,0.9,0.900724701134725,0.6823619241537286,0.7137649622163134,0.9972527472527473,1213,0.0
dan,10,0.9700598802395209,0.9657286225112199,0.9048780487804878,0.9050719806495083,0.9445628997867804,0.9491231354334299,0.939833609602263,0.939974579531386,0.9048780487804878,0.9050719806495083,0.6485110715194706,0.6068633051669102,0.8406593406593407,1213,-0.03385085263425802
dann,10,0.9730538922155688,0.9680237895150242,0.9073170731707317,0.9059402014324942,0.9509594882729211,0.9571569111812324,0.9437768178864072,0.9437069673762503,0.9073170731707317,0.9059402014324942,0.7910409773479257,0.7872419428598061,0.9876373626373627,1213,0.10867905319419702
cdan,3,0.9580838323353293,0.9512156150848342,0.9048780487804878,0.9087993658774826,0.9402985074626866,0.9430165331422211,0.9344201295261678,0.934343838034846,0.9048780487804878,0.9087993658774826,0.7286841435479766,0.6789966660412255,0.9972527472527473,1213,0.046322219394247965
