best_val_acc,epoch,lr,train_acc,train_loss,val_acc,wall_time_s
0.4612,1,0.09997532801828658,0.3256098646723647,1.8515697194640113,0.4612,14.2
0.5184,2,0.09990133642141358,0.5233707264957265,1.3023016445996753,0.5184,26.5
0.6444,3,0.099778098230154,0.6387775997150997,1.0167161465710044,0.6444,38.5
0.7352,4,0.0996057350657239,0.7091123575498576,0.8275766423624805,0.7352,50.4
0.7352,5,0.09938441702975688,0.7545183404558404,0.7077195573056865,0.7334,62.3
0.788,6,0.09911436253643444,0.7818287037037037,0.625360227633066,0.788,74.2
0.7896,7,0.09879583809693737,0.8050881410256411,0.5677059022789328,0.7896,86.3
0.7896,8,0.09842915805643156,0.8147480413105413,0.5327675706810422,0.7462,98.0
0.7896,9,0.09801468428384716,0.8266559829059829,0.5028039981157352,0.7652,109.7
0.8146,10,0.09755282581475769,0.8331997863247863,0.48953081688649974,0.8146,121.6
0.8146,11,0.09704403844771128,0.8403000356125356,0.46613406668021806,0.7572,133.3
0.819,12,0.09648882429441258,0.8440393518518519,0.452671719752146,0.819,145.1
0.819,13,0.09588773128419906,0.8501379985754985,0.43719819892845263,0.7736,156.8
0.819,14,0.09524135262330098,0.8536992521367521,0.42418420412431757,0.7762,168.5
0.819,15,0.0945503262094184,0.8585069444444444,0.4165127099918844,0.7462,180.2
0.819,16,0.09381533400219319,0.8600649928774928,0.40674834624145106,0.7682,192.0
0.8458,17,0.0930371013501972,0.8653623575498576,0.3955133826049984,0.8458,203.7
0.8458,18,0.09221639627510078,0.8678107193732194,0.3870267049114928,0.797,215.5
0.8458,19,0.09135402871372812,0.8662081552706553,0.38483686481955387,0.803,227.2
0.8458,20,0.09045084971874741,0.8732416310541311,0.37269803554753633,0.7924,238.9
0.8458,21,0.08950775061878455,0.875267094017094,0.3651244591953408,0.8212,250.7
0.8496,22,0.0885256621387895,0.8788951210826211,0.3551135010953642,0.8496,262.5
0.8496,23,0.08750555348152302,0.8784722222222222,0.35304284274068654,0.8492,274.2
0.854,24,0.08644843137107061,0.8821447649572649,0.34469650613616337,0.854,285.9
0.854,25,0.0853553390593274,0.8848157051282052,0.3353902338831513,0.8206,297.7
0.854,26,0.08422735529643446,0.8815215455840456,0.3408158989543589,0.8244,309.4
