disc_acc,epoch,grl_alpha,loss_cls,loss_domain,loss_total,progress,step,wall_time_s
0.9250000193715096,1,0.007800619419126431,1.4916809797286987,0.20833253869786858,1.700013518333435,0.0031,20,4.9
0.9635416835546493,1,0.024218730716329684,0.8448545381426811,0.11943744299933315,0.964291974902153,0.0064,40,6.5
0.8916666835546494,1,0.04062378850029012,0.5697095192968845,0.26484208889305594,0.8345516175031662,0.0097,60,8.2
0.6802083492279053,1,0.057006974001184915,0.4818775154650211,0.8436657890677453,1.3255433171987534,0.013,80,9.9
0.46666667610406876,1,0.07335951549482186,0.3832497335970402,1.0913522198796273,1.4746019512414932,0.0163,100,11.5
0.8218750208616257,1,0.08967270701157595,0.6133840247988701,0.4480120077729225,1.0613960415124892,0.0195,120,13.2
0.7989583551883698,1,0.10593792674621624,0.36457777880132197,0.4436575785279274,0.8082353562116623,0.0228,140,14.8
0.6020833492279053,1,0.12214665508654443,0.3530125044286251,0.6605877339839935,1.0136002361774445,0.0261,160,16.5
0.7552083551883697,1,0.13829049218172096,0.25428614281117917,0.5423866480588913,0.7966727882623672,0.0294,180,18.3
0.7697916865348816,1,0.15436117497469218,0.32792518362402917,0.49383696019649503,0.8217621475458146,0.0327,200,19.9
0.7034313959233901,2,0.17154733995876656,0.19972479825510697,0.5719687973751741,0.7716935978216284,0.036,220,26.4
0.6916666895151138,2,0.18625080727059035,0.25754232946783306,0.5721306070685387,0.8296729356050492,0.0393,240,28.1
0.6281250193715096,2,0.2020540590201491,0.26247389391064646,0.653379637002945,0.9158535212278366,0.0425,260,29.8
0.6552083522081376,2,0.21775279019715396,0.22419604235328733,0.622556883096695,0.8467529267072678,0.0458,280,31.4
0.6697916865348816,2,0.23333965370728887,0.24361546132713557,0.6236711502075195,0.8672866135835647,0.0491,300,33.1
0.6395833522081376,2,0.24880752653112453,0.20113821793347597,0.6083321958780289,0.8094704121351242,0.0524,320,34.8
0.6687500178813934,2,0.2641495212880721,0.3016569782048464,0.6055264502763749,0.9071834266185761,0.0557,340,36.5
0.6229166865348816,2,0.279358996841732,0.27152335811406375,0.6314681172370911,0.9029914766550065,0.059,360,38.2
0.6447916835546493,2,0.2944295679209793,0.22975661437958478,0.6310781508684158,0.8608347654342652,0.0622,380,39.9
0.6479166865348815,2,0.3093551137375728,0.16204176917672158,0.6266523271799087,0.7886940985918045,0.0655,400,41.5
0.6741071598870414,3,0.3263359677941513,0.1673588470688888,0.5980448978287833,0.7654037518160683,0.0688,420,44.9
0.6562500223517418,3,0.3387480134294051,0.20979781858623028,0.6114056348800659,0.8212034553289413,0.0721,440,46.5
0.642708358168602,3,0.35320451144012166,0.17690529711544514,0.6336252629756928,0.8105305641889572,0.0754,460,48.2
0.6552083551883697,3,0.3674942825521622,0.17194928089156747,0.6382119119167328,0.8101611942052841,0.0787,480,49.9
0.6364583492279052,3,0.3816126219850341,0.1541514673270285,0.622829121351242,0.7769805908203125,0.082,500,51.6
0.6791666924953461,3,0.39555511978652225,0.21069793715141713,0.607139739394188,0.8178376793861389,0.0852,520,53.3
