best_so_far,epoch,step,train_disc_acc,train_grl_alpha,train_loss_cls,train_loss_domain,train_loss_total,val_art_painting_acc,val_art_painting_f1,val_cartoon_acc,val_cartoon_f1,val_mean_acc,val_mean_f1,val_photo_acc,val_photo_f1,val_worst_f1,wall_time_s
0.8848627258933842,1,203,0.7668308882877745,0.08255703830490344,0.5634737998393956,0.5128764002928006,1.076350202114124,0.8365853658536585,0.8340270090026783,0.8976545842217484,0.9036672637580111,0.8884592248754349,0.8848627258933842,0.9311377245508982,0.9168939049194632,0.8340270090026783,24.9
0.8913868126652066,2,406,0.6577381149595007,0.24404018557745707,0.23475432557884254,0.615005373367535,0.8497596985013615,0.8634146341463415,0.8600968877487724,0.8912579957356077,0.9012680774109948,0.8932741101602506,0.8913868126652066,0.9251497005988024,0.9127954728358525,0.8600968877487724,43.6
0.9219086135827362,3,609,0.6436781814239295,0.3930606876150119,0.18572686288707654,0.636284005172147,0.8220108703439459,0.9024390243902439,0.9016532304687107,0.8955223880597015,0.9069952204911106,0.9196797522537742,0.9219086135827362,0.9610778443113772,0.9570773897883872,0.9016532304687107,62.4
0.9219086135827362,4,812,0.5779967334470139,0.5239768252756296,0.16574472909921717,0.6806904608980188,0.8464351921833208,0.8512195121951219,0.8448210739442021,0.8976545842217484,0.9069077841236538,0.8983272936160027,0.8959989502629763,0.9461077844311377,0.9362679927210725,0.8448210739442021,80.9
0.9219086135827362,5,1015,0.5743021545151772,0.634100941940253,0.2394923166460197,0.6866604122035022,0.9261527249378524,0.8829268292682927,0.8774698619170974,0.9317697228144989,0.9251266867586425,0.9222641201553418,0.9146723859962043,0.9520958083832335,0.9414206093128727,0.8774698619170974,99.5
0.9287514474418788,6,1218,0.5455665216950948,0.7233960938587989,0.09667833792842842,0.687181562038478,0.7838599000658307,0.9,0.8989601292364418,0.9381663113006397,0.9439830323973692,0.9300873732279578,0.9287514474418788,0.9520958083832335,0.9433111806918253,0.8989601292364418,118.3
0.9287514474418788,7,1421,0.5398193933987265,0.7936674764302234,0.08806848968085294,0.6892855320070764,0.777354023139465,0.8926829268292683,0.8886558393334844,0.9360341151385928,0.9361378840250343,0.9289336247677301,0.9262664236875094,0.9580838323353293,0.9540055477040097,0.8886558393334844,136.8
0.9287514474418788,8,1624,0.5173440229129321,0.8476749934178968,0.10372127044020941,0.6954882506079274,0.7992095207345897,0.8951219512195122,0.8904576009640597,0.9253731343283582,0.926368621131708,0.9241969646437013,0.9203067973192929,0.9520958083832335,0.9440941698621109,0.8904576009640597,155.2
0.9324494285087966,9,1827,0.5003078904351578,0.8884318608500246,0.05143984617658815,0.6936071664828972,0.7450470137478683,0.8853658536585366,0.8880974672489337,0.9466950959488273,0.9518907850030364,0.9320442686315964,0.9324494285087966,0.9640718562874252,0.9573600332744198,0.8880974672489337,173.9
0.9437069673762503,10,2030,0.5192939398323961,0.9187668330973723,0.04568463489356183,0.6919175268981257,0.7376021610692217,0.9073170731707317,0.9059402014324942,0.9509594882729211,0.9571569111812324,0.9437768178864072,0.9437069673762503,0.9730538922155688,0.9680237895150242,0.9059402014324942,192.6
0.9437069673762503,11,2233,0.5111863849491909,0.9411131530269299,0.05606795992490634,0.69391360159578,0.7499815601433439,0.8585365853658536,0.8622110264604237,0.9360341151385928,0.9424002953439637,0.9025814510663523,0.9005648637326922,0.9131736526946108,0.8970832693936892,0.8622110264604237,211.1
0.9437069673762503,12,2436,0.4988711094621367,0.9574497353217613,0.05147943579598585,0.6932719176625971,0.744751352101124,0.8219512195121951,0.8233859551250855,0.8955223880597015,0.8951716921351187,0.8858644560169795,0.8821738427800137,0.9401197604790419,0.9279638810798371,0.8233859551250855,229.5
0.9437069673762503,13,2639,0.5066707812506577,0.969326410911726,0.07460413620723504,0.6977023670238814,0.772306501278149,0.8926829268292683,0.8916231222667187,0.9360341151385928,0.9397374550578396,0.9229456008156344,0.9215647472602564,0.9401197604790419,0.933333664456211,0.8916231222667187,248.2
0.9437069673762503,14,2842,0.5024630624085225,0.9779257711037349,0.11754216634910129,0.696934027331216,0.814476192291147,0.875609756097561,0.8707286147591579,0.9339019189765458,0.9397731246246649,0.9185398198350816,0.915768149364076,0.9461077844311377,0.936802708708405,0.8707286147591579,266.7
0.9437069673762503,15,3045,0.5091338389612771,0.9841338926027186,0.04984068255889097,0.6985941285570266,0.7484348128581869,0.8878048780487805,0.8878447043131865,0.929637526652452,0.9372392164561296,0.9251754123455206,0.92487078876343,0.9580838323353293,0.949528445520974,0.8878447043131865,285.2
