best_so_far,epoch,step,train_loss_cls,train_loss_total,val_art_painting_acc,val_art_painting_f1,val_cartoon_acc,val_cartoon_f1,val_mean_acc,val_mean_f1,val_photo_acc,val_photo_f1,val_worst_f1,wall_time_s
0.8544851013308942,1,203,0.534423241841382,0.534423241841382,0.8073170731707318,0.7937682242541937,0.8699360341151386,0.8751646217621286,0.8644735906521763,0.8544851013308942,0.9161676646706587,0.8945224579763599,0.7937682242541937,17.3
0.9012397298693826,2,406,0.2445717688266812,0.2445717688266812,0.8829268292682927,0.8826765953538535,0.8805970149253731,0.8835206587870967,0.9042085468669505,0.9012397298693826,0.9491017964071856,0.9375219354671975,0.8826765953538535,29.9
0.9012397298693826,3,609,0.15971343619909523,0.15971343619909523,0.8317073170731707,0.8168560574126599,0.8869936034115139,0.8700696202607265,0.8832795483451942,0.8663087682372552,0.9311377245508982,0.9120006270383791,0.8168560574126599,42.3
0.9171839777238343,4,812,0.13653804609217116,0.13653804609217116,0.8853658536585366,0.8835058001259796,0.9189765458422174,0.9282519614082343,0.9178147319693132,0.9171839777238343,0.9491017964071856,0.9397941716372887,0.8835058001259796,54.7
0.92158780636683,5,1015,0.1046701260323962,0.1046701260323962,0.8878048780487805,0.8895810258018237,0.9189765458422174,0.9243933045071852,0.9216217520754424,0.92158780636683,0.9580838323353293,0.9507890887914812,0.8895810258018237,67.1
0.9258972850733896,6,1218,0.08787708603928962,0.08787708603928962,0.8829268292682927,0.8841235693311214,0.9317697228144989,0.9391709854122013,0.9252581321313896,0.9258972850733896,0.9610778443113772,0.9543973004768461,0.8841235693311214,79.3
0.9388598046018356,7,1421,0.07888073922848052,0.07888073922848052,0.9,0.900724701134725,0.9445628997867804,0.9482972439362712,0.9392055973341163,0.9388598046018356,0.9730538922155688,0.9675574687345103,0.900724701134725,91.6
0.9388598046018356,8,1624,0.07146293534208381,0.07146293534208381,0.8829268292682927,0.88285499924565,0.9402985074626866,0.9422587523632119,0.9281010603474522,0.9269910928517818,0.9610778443113772,0.9558595269464835,0.88285499924565,103.7
0.9388598046018356,9,1827,0.061781336936189014,0.061781336936189014,0.8853658536585366,0.8873771827094402,0.9339019189765458,0.93925383739486,0.9237878603394387,0.9229363315616735,0.9520958083832335,0.9421779745807205,0.8873771827094402,115.7
0.9388598046018356,10,2030,0.06012797714238287,0.06012797714238287,0.9219512195121952,0.9194974068015757,0.9168443496801706,0.9207180518302381,0.9302971258585332,0.9283354490193177,0.9520958083832335,0.9447908884261393,0.9194974068015757,127.6
0.9388598046018356,11,2233,0.03389439062019905,0.03389439062019905,0.848780487804878,0.8507486737207385,0.929637526652452,0.9385133378659754,0.906179258312124,0.9058156969597292,0.9401197604790419,0.9281850792924736,0.8507486737207385,139.3
0.9388598046018356,12,2436,0.07242285424137501,0.07242285424137501,0.8951219512195122,0.8887287147062445,0.9360341151385928,0.9407253337123466,0.9307446368898273,0.9277196356126486,0.9610778443113772,0.9537048584193549,0.8887287147062445,151.3
