disc_acc,epoch,grl_alpha,loss_cls,loss_domain,loss_total,progress,step,wall_time_s
0.7302083536982537,1,0.007800619419126431,1.490885502099991,0.5543541103601456,2.045239621400833,0.0031,20,5.5
0.8625000178813934,1,0.024218730716329684,0.8390463039278984,0.36518308371305463,1.2042293816804885,0.0064,40,7.2
0.8583333492279053,1,0.04062378850029012,0.5736496850848198,0.3924515530467033,0.9661012500524521,0.0097,60,9.0
0.7989583492279053,1,0.057006974001184915,0.47146896868944166,0.4371086940169334,0.9085776686668396,0.013,80,10.7
0.5458333507180214,1,0.07335951549482186,0.3609704725444317,0.813854455947876,1.1748249381780624,0.0163,100,12.5
0.15520833786576987,1,0.08967270701157595,0.5155116721987725,3.0930954933166506,3.608607119321823,0.0195,120,14.2
0.20729167349636554,1,0.10593792674621624,35.66334977671504,688.1934508800507,723.8568156719208,0.0228,140,16.0
0.20937500707805157,1,0.12214665508654443,888.8220212459564,23662.793530273437,24551.615991210936,0.0261,160,17.7
0.5052083477377891,1,0.13829049218172096,6104.3794616699215,23409.50364074707,29513.88310546875,0.0294,180,19.6
0.5125000149011611,1,0.15436117497469218,789.2965782165527,308.6544101715088,1097.9509979248046,0.0327,200,21.3
0.47058825107181773,2,0.17154733995876656,14.316948806538301,21.704490549424115,36.02143904742073,0.036,220,28.1
0.5052083507180214,2,0.18625080727059035,3.934768545627594,15.548549842834472,19.483318328857422,0.0393,240,29.9
0.4843750149011612,2,0.2020540590201491,2.715391528606415,16.18348846435547,18.89888005256653,0.0425,260,31.6
0.473958346247673,2,0.21775279019715396,2.5483272552490233,16.71124596595764,19.25957326889038,0.0458,280,33.3
0.49062501490116117,2,0.23333965370728887,2.4768717169761656,17.934685897827148,20.411557483673096,0.0491,300,35.1
0.5281250193715096,2,0.24880752653112453,2.572975718975067,17.39552493095398,19.968500709533693,0.0524,320,36.9
0.49895834773778913,2,0.2641495212880721,2.8445739269256594,21.80075149536133,24.64532527923584,0.0557,340,38.7
0.49062501192092894,2,0.279358996841732,3.186042594909668,24.544164752960206,27.73020734786987,0.059,360,40.5
0.5135416835546494,2,0.2944295679209793,3.005178141593933,28.1681471824646,31.17332525253296,0.0622,380,42.2
0.491666679084301,2,0.3093551137375728,3.355951929092407,35.25703468322754,38.61298666000366,0.0655,400,43.9
0.5014881044626236,3,0.3263359677941513,4.242172122001648,45.61683327811105,49.85900524684361,0.0688,420,47.4
0.4989583447575569,3,0.3387480134294051,6.621968948841095,54.32559185028076,60.94756088256836,0.0721,440,49.1
0.4927083447575569,3,0.35320451144012166,11.52448832988739,69.6390338897705,81.16352272033691,0.0754,460,50.9
0.5093750223517418,3,0.3674942825521622,13.288995265960693,81.41775035858154,94.70674552917481,0.0787,480,52.7
0.49166667461395264,3,0.3816126219850341,19.90846652984619,100.39208526611328,120.30055198669433,0.082,500,54.5
0.530208344757557,3,0.39555511978652225,24.530816268920898,127.22478713989258,151.75560417175294,0.0852,520,56.3
0.5114583462476731,3,0.4093176624056456,55.041540908813474,147.3493793487549,202.39092025756835,0.0885,540,58.0
0.4822916805744171,3,0.42289643332349175,67.7343339920044,163.2188232421875,230.9531578063965,0.0918,560,59.7
0.4864583477377892,3,0.43628791277242085,64.89316473007202,144.63235511779786,209.52552185058593,0.0951,580,61.3
0.49479168355464936,3,0.4494888765779814,77.70593814849853,123.81167221069336,201.51761322021486,0.0984,600,63.0
0.4867424395951358,4,0.4654018665411446,75.152587890625,85.53573885830966,160.68832882967862,0.1017,620,66.2
0.5072916865348815,4,0.475307825742785,36.345055723190306,58.38874282836914,94.73379917144776,0.1049,640,68.0
0.5031250178813934,4,0.48792081879026766,20.101168060302733,54.162061309814455,74.26322841644287,0.1082,660,69.8
