best_so_far,epoch,step,train_grad_norm,train_loss_cls,train_loss_perturbed,train_loss_total,train_sharpness_gap,val_art_painting_acc,val_art_painting_f1,val_cartoon_acc,val_cartoon_f1,val_mean_acc,val_mean_f1,val_photo_acc,val_photo_f1,val_worst_f1,wall_time_s
0.8678387362439284,1,203,8.984328275830874,0.5758665524092801,0.6735597404059518,0.6735597404059518,0.0976931879966717,0.8463414634146341,0.8340964056729139,0.8635394456289979,0.8675279755642533,0.8763475285634462,0.8678387362439284,0.9191616766467066,0.901891827494618,0.8340964056729139,24.5
0.9092776323768215,2,406,6.851115261979878,0.21733974763582198,0.29372130767465227,0.29372130767465227,0.07638156002965467,0.8682926829268293,0.8623754351911865,0.9168443496801706,0.9214514960345774,0.9124109469967445,0.9092776323768215,0.9520958083832335,0.9440059659047001,0.8623754351911865,44.4
0.931153323901622,3,609,5.641162748113642,0.1444520033859267,0.20935829790318247,0.20935829790318247,0.06490629452184357,0.9073170731707317,0.907480656864773,0.9232409381663113,0.9328132877188121,0.929547281224124,0.931153323901622,0.9580838323353293,0.9531660271212808,0.907480656864773,64.4
0.931153323901622,4,812,5.405451150363302,0.11786622524243123,0.1802588085198931,0.1802588085198931,0.06239258326828626,0.875609756097561,0.8755491754366389,0.9040511727078892,0.8993497801467031,0.9155755990229744,0.9116959294888712,0.9670658682634731,0.960188832883272,0.8755491754366389,84.3
0.931153323901622,5,1015,3.950420471835019,0.07990301576823804,0.12816996943077136,0.12816996943077136,0.04826695366712113,0.8731707317073171,0.8732828417414434,0.9402985074626866,0.9440757643805128,0.9228530198430951,0.9214790624824462,0.9550898203592815,0.9470785813253823,0.8732828417414434,104.2
0.931153323901622,6,1218,3.427261815594482,0.05934942281776879,0.10229085374788698,0.10229085374788698,0.04294143091965228,0.9121951219512195,0.91459605877779,0.9168443496801706,0.9232939926439042,0.9300391053142558,0.9303320708388313,0.9610778443113772,0.9531061610948,0.91459605877779,124.1
0.9319552438919123,7,1421,3.5615516463707526,0.054960711137735714,0.10152824354998015,0.10152824354998015,0.046567532519484166,0.8902439024390244,0.8864694416050689,0.9530916844349681,0.9517250752499008,0.9358024810538059,0.9319552438919123,0.9640718562874252,0.9576712148207674,0.8864694416050689,144.1
0.9388986304770642,8,1624,3.9382260573633348,0.07186299558654956,0.11963733747312479,0.11963733747312479,0.04777434196342081,0.9048780487804878,0.9082959597133621,0.9317697228144989,0.936843828590043,0.9375652252622012,0.9388986304770642,0.9760479041916168,0.9715561031277876,0.9082959597133621,164.0
0.9388986304770642,9,1827,2.6053506061251235,0.03652178959045307,0.07175772122664864,0.07175772122664864,0.03523593165311306,0.8951219512195122,0.9000234327580151,0.9424307036247335,0.949393345054653,0.9348728410359062,0.9367557528803809,0.9670658682634731,0.9608504808284746,0.9000234327580151,183.9
0.9388986304770642,10,2030,2.2971778568522683,0.031061674296320303,0.06139456525013732,0.06139456525013732,0.03033289098550148,0.8951219512195122,0.8893986705940398,0.9573560767590619,0.9606591605442029,0.9408459694060317,0.9378019371457573,0.9700598802395209,0.9633479802990293,0.8893986705940398,203.8
